"","fips","SCC","Pollutant","Emissions","type","year"
"174","01019","2102002000","PM25-PRI",0.066,"NONPOINT",1999
"175","01019","2103001000","PM25-PRI",0.033,"NONPOINT",1999
"176","01019","2103002000","PM25-PRI",0.023,"NONPOINT",1999
"177","01021","2102002000","PM25-PRI",0.296,"NONPOINT",1999
"178","01021","2103001000","PM25-PRI",0.054,"NONPOINT",1999
"179","01021","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"180","01023","2102002000","PM25-PRI",0.023,"NONPOINT",1999
"181","01023","2103001000","PM25-PRI",0.022,"NONPOINT",1999
"182","01023","2103002000","PM25-PRI",0.023,"NONPOINT",1999
"183","01025","2102002000","PM25-PRI",0.085,"NONPOINT",1999
"184","01025","2103001000","PM25-PRI",0.075,"NONPOINT",1999
"185","01025","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"186","01027","2102002000","PM25-PRI",0.085,"NONPOINT",1999
"187","01027","2103001000","PM25-PRI",0.022,"NONPOINT",1999
"188","01027","2103002000","PM25-PRI",0.017,"NONPOINT",1999
"189","01029","2102002000","PM25-PRI",0.034,"NONPOINT",1999
"190","01029","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"191","01029","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"192","01031","10200204","PM25-PRI",1.847,"POINT",1999
"193","01031","2102002000","PM25-PRI",0.142,"NONPOINT",1999
"194","01031","2103001000","PM25-PRI",0.108,"NONPOINT",1999
"195","01031","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"196","01033","10100201","PM25-PRI",27.305,"POINT",1999
"197","01033","10100202","PM25-PRI",3017.917,"POINT",1999
"198","01033","2102002000","PM25-PRI",0.197,"NONPOINT",1999
"199","01033","2103001000","PM25-PRI",0.041,"NONPOINT",1999
"200","01033","2103002000","PM25-PRI",0.017,"NONPOINT",1999
"201","01035","2102002000","PM25-PRI",0.085,"NONPOINT",1999
"202","01035","2103001000","PM25-PRI",0.022,"NONPOINT",1999
"203","01035","2103002000","PM25-PRI",0.023,"NONPOINT",1999
"204","01037","2102002000","PM25-PRI",0.085,"NONPOINT",1999
